step,total_reward,0_phase,0_total_queue,1_phase,1_total_queue,10_phase,10_total_queue,11_phase,11_total_queue,12_phase,12_total_queue,13_phase,13_total_queue,14_phase,14_total_queue,15_phase,15_total_queue,2_phase,2_total_queue,3_phase,3_total_queue,4_phase,4_total_queue,5_phase,5_total_queue,6_phase,6_total_queue,7_phase,7_total_queue,8_phase,8_total_queue,9_phase,9_total_queue
62,-0.7074994593858719,1,0.25479636,1,0.1713228,1,0.22647688,1,0.23677343,1,0.3252669,1,0.26049823,1,0.15166074,1,0.44797152,1,0.2672501,1,0.24356864,1,0.5393442,1,0.17633452,1,0.40427044,1,0.38818505,1,0.22562277,1,0.2673784
63,-0.8357328683137895,1,0.32938403,1,0.25486368,1,0.49736655,1,0.5935943,1,0.4455516,1,0.56441283,1,0.22064057,1,0.47316727,1,0.33763418,1,0.19881073,1,0.6433371,1,0.2880783,1,0.686121,1,0.4747331,1,0.49466193,1,0.57263744
64,-5.753865864813328,1,0.34399194,1,0.32536745,1,0.54875445,1,0.7003559,1,0.4455516,1,0.7380783,1,0.22064057,1,0.74519575,1,0.45225054,1,0.28838775,1,0.47473308,1,0.44697508,1,0.7886121,1,0.511032,1,0.627758,1,0.69964415
65,-5.69927322858572,0,0.12558234,0,0.113227874,0,0.26597863,0,0.4265006,0,0.15738072,0,0.5377462,0,0.09845789,0,0.55690783,0,0.4762135,0,0.22255895,0,0.33763757,0,0.12227757,0,0.3963622,0,0.28531435,0,0.3274021,0,0.44911033
66,-0.6955041464418174,0,0.072795585,0,0.24863583,0,0.18270463,0,0.41423488,0,0.089233294,0,0.51985765,0,0.29537368,0,0.50478446,0,0.1780163,0,0.2975089,0,0.30538923,0,0.28291816,0,0.33491498,0,0.4046263,0,0.13615122,0,0.08558719
67,-0.838958702608943,0,0.10426207,0,0.49727166,0,0.3648873,0,0.62784696,0,0.19556183,0,0.554567,0,0.5498221,0,0.5708185,0,0.19193357,0,0.5243179,0,0.57689327,0,0.5926453,0,0.6620799,0,0.6809964,0,0.22768581,0,0.033451956
68,-5.782446040153504,0,0.2436069,0,0.6007117,0,0.47473308,0,0.77864766,0,0.26516378,0,0.66548043,0,0.63416374,0,0.7345196,0,0.30533808,0,0.59587187,0,0.6384642,0,0.627758,0,0.71352315,0,0.7658363,0,0.31231654,0,0.033451956
69,-5.685244940906763,1,0.1374203,1,0.30932385,1,0.33087188,1,0.41608542,1,0.11905893,1,0.46327403,1,0.30946618,1,0.49363387,1,0.09814877,1,0.3369395,1,0.375907,1,0.48305112,1,0.6240629,1,0.451032,1,0.17782164,1,0.05836299
70,-0.6895777627825738,1,0.085268706,1,0.0,1,0.34564057,1,0.24412811,1,0.27793595,1,0.36270463,1,0.34793594,1,0.35816526,1,0.16425446,1,0.082639255,1,0.34939337,1,0.41443062,1,0.2969395,1,0.34128115,1,0.2778173,1,0.2639146
71,-0.8277594938874245,1,0.11690788,1,0.0,1,0.71364176,1,0.48825622,1,0.50124556,1,0.6347331,1,0.5153025,1,0.6405694,1,0.30198586,1,0.20531806,1,0.38320285,1,0.46156585,1,0.5067141,1,0.43701068,1,0.47544485,1,0.513879
72,-5.741915816381574,1,0.22878942,1,0.12256254,1,0.85551596,1,0.52455515,1,0.627758,1,0.75302494,1,0.5153025,1,0.80071175,1,0.39624706,1,0.19903511,1,0.430605,1,0.6163701,1,0.6647687,1,0.513879,1,0.51459074,1,0.513879
73,-5.640647638529539,0,0.035408955,0,0.03677343,0,0.41731912,0,0.34258598,0,0.37224197,0,0.61921704,0,0.20156583,0,0.47925267,0,0.25541344,0,0.09135812,0,0.20700145,0,0.38915777,0,0.5115856,0,0.27180704,0,0.27269277,0,0.27577698
74,-0.6631761796772481,0,0.039685335,0,0.26049823,0,0.035666272,0,0.24412811,0,0.039685335,0,0.43312377,0,0.23843417,0,0.35536575,0,0.23368922,0,0.19708185,0,0.22719267,0,0.338363,0,0.4014591,0,0.36836696,0,0.0,0,0.35373664
75,-0.7812545485794544,0,0.33089116,0,0.39074734,0,0.06690391,0,0.45480427,0,0.072795585,0,0.5918545,0,0.527758,0,0.56441283,0,0.47568208,0,0.4455516,0,0.37787953,0,0.55096084,0,0.5459075,0,0.5428628,0,0.18527651,0,0.50747335
76,-5.742593027591705,0,0.41305625,0,0.39074734,0,0.06690391,0,0.45480427,0,0.11248092,0,0.66761565,0,0.57864773,0,0.7380783,0,0.61423486,0,0.39715302,0,0.46634573,0,0.7773428,0,0.6096409,0,0.7779359,0,0.24008453,0,0.50747335
77,-5.668458544403315,1,0.26523423,1,0.15322462,1,0.08259787,1,0.30320284,1,0.04483986,1,0.43587187,1,0.2874555,1,0.5064057,1,0.33977187,1,0.12792408,1,0.3822471,1,0.60931194,1,0.36982206,1,0.49501777,1,0.088904545,1,0.29409844
78,-0.6281738948076964,1,0.0,1,0.09289801,1,0.28323844,1,0.31131673,1,0.23487544,1,0.38790035,1,0.31613284,1,0.33763343,1,0.16391787,1,0.037922136,1,0.3853052,1,0.4291923,1,0.40434164,1,0.15017794,1,0.26498222,1,0.24475089
79,-0.7741804167628289,1,0.04459778,1,0.13934702,1,0.5906179,1,0.51886123,1,0.40759194,1,0.60071176,1,0.6432681,1,0.53879,1,0.23796701,1,0.037922136,1,0.4747331,1,0.45183867,1,0.575089,1,0.12028469,1,0.39074734,1,0.5093713
80,-5.751761917337776,1,0.15231684,1,0.40138,1,0.7316726,1,0.63416374,1,0.44199288,1,0.60071176,1,0.75231314,1,0.57793593,1,0.40861663,1,0.15671492,1,0.511032,1,0.49110323,1,0.7544484,1,0.12028469,1,0.39074734,1,0.6163701
81,-5.663884844571352,0,0.079781614,0,0.4018221,0,0.5577145,0,0.3014235,0,0.39375067,0,0.30177936,0,0.46663702,0,0.44654804,0,0.26725933,0,0.0,0,0.2979532,0,0.27352315,0,0.54404116,0,0.05172005,0,0.10035587,0,0.39330962
82,-0.6210055932402612,0,0.23754844,0,0.33953458,0,0.43467772,0,0.0,0,0.22942351,0,0.033451956,0,0.36805063,0,0.37864769,0,0.2631554,0,0.23985764,0,0.16442409,0,0.28398576,0,0.39871886,0,0.35530248,0,0.039685335,0,0.23238434
83,-0.767964417487383,0,0.32102853,0,0.5535587,0,0.5021352,0,0.10035586,0,0.33166608,0,0.10035586,0,0.64213526,0,0.6033808,0,0.3572954,0,0.47900355,0,0.19457556,0,0.5309968,0,0.5841756,0,0.47758007,0,0.07608312,0,0.35572952
84,-5.686317276522518,0,0.41094282,0,0.68754447,0,0.59430605,0,0.13380782,0,0.44889045,0,0.10035586,0,0.6815659,0,0.64555156,0,0.3572954,0,0.605516,0,0.3815428,0,0.69323844,0,0.8548043,0,0.57793593,0,0.10919338,0,0.39715302
85,-5.6277744996696715,1,0.16097218,1,0.37925482,1,0.32816133,1,0.0,1,0.22171395,1,0.046975087,1,0.45935944,1,0.31672597,1,0.12617832,1,0.29153025,1,0.18964423,1,0.6019217,1,0.5365125,1,0.3558719,1,0.085409254,1,0.12294188
86,-0.5765379134565592,1,0.037922136,1,0.06956132,1,0.21352313,1,0.038434163,1,0.24721232,1,0.3088968,1,0.39729542,1,0.43297747,1,0.042006057,1,0.109682485,1,0.13523132,1,0.47892448,1,0.5088062,1,0.119810194,1,0.25622776,1,0.2412337
87,-0.7072372645139695,1,0.048917312,1,0.10245709,1,0.4711744,1,0.2004745,1,0.3708185,1,0.53718865,1,0.6025623,1,0.6131673,1,0.17053741,1,0.17771794,1,0.16868328,1,0.5613879,1,0.65630686,1,0.16868326,1,0.47259784,1,0.44270462
88,-5.6938289556056265,1,0.16566813,1,0.16762033,1,0.6846975,1,0.2405694,1,0.40427047,1,0.6177936,1,0.7263669,1,0.65409255,1,0.2877819,1,0.314793,1,0.16868328,1,0.6564057,1,0.7409253,1,0.20213524,1,0.59786475,1,0.44270462
89,-5.641011458203197,0,0.03311025,0,0.12395018,0,0.43701065,0,0.045907475,0,0.17020562,0,0.40486357,0,0.5558719,0,0.34583628,0,0.26316568,0,0.30548108,0,0.0,0,0.48612097,0,0.49418747,0,0.0929913,0,0.3269181,0,0.21266903
90,-0.6189838916063309,0,0.24304333,0,0.41651243,0,0.18462634,0,0.18985766,0,0.24882,0,0.21589562,0,0.22704627,0,0.21209964,0,0.3491815,0,0.29039145,0,0.03311025,0,0.32384342,0,0.36294186,0,0.32799524,0,0.0662205,0,0.07852906
91,-0.7997210413217545,0,0.30926383,0,0.58512455,0,0.36925268,0,0.42989323,0,0.3721968,0,0.49655992,0,0.15373665,0,0.51103204,0,0.52052194,0,0.32052195,0,0.1256311,0,0.55516016,0,0.55667853,0,0.5579478,0,0.20852414,0,0.11779359
92,-5.721613077759743,0,0.46389574,0,0.7537366,0,0.41067615,0,0.66761565,0,0.45133263,0,0.70391464,0,0.15373665,0,0.59786475,0,0.63416374,0,0.3572954,0,0.16202888,0,0.64768684,0,0.7605256,0,0.7879003,0,0.27615356,0,0.16868326
93,-5.583385818392038,1,0.28249383,1,0.35211742,1,0.2265164,1,0.3530249,1,0.33138227,1,0.40287068,1,0.047153026,1,0.34989324,1,0.29822063,1,0.112313166,1,0.042972878,1,0.38951364,1,0.71844333,1,0.463879,1,0.11280967,1,0.09252669
94,-0.5608023390173912,1,0.18467408,1,0.0,1,0.40300512,1,0.047153026,1,0.29395017,1,0.2801661,1,0.28024912,1,0.06690391,1,0.104559496,1,0.048131943,1,0.047153026,1,0.28355873,1,0.52870697,1,0.25376037,1,0.09430605,1,0.27758008
95,-0.6784940272569657,1,0.35207003,1,0.0,1,0.7497825,1,0.22206405,1,0.5419929,1,0.44270462,1,0.60765123,1,0.16725978,1,0.19252777,1,0.15711881,1,0.32384342,1,0.38790035,1,0.45409253,1,0.3243179,1,0.22206405,1,0.46263343
96,-5.621366869598627,1,0.39448,1,0.20902053,1,0.79430604,1,0.255516,1,0.57793593,1,0.44270462,1,0.7010676,1,0.16725978,1,0.28879166,1,0.35812858,1,0.32384342,1,0.38790035,1,0.57793593,1,0.43629894,1,0.22206405,1,0.64768684
