sim_step,simulation_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_mean_queue_length,queue_length_0,queue_length_1,queue_length_10,queue_length_11,queue_length_12,queue_length_13,queue_length_14,queue_length_15,queue_length_2,queue_length_3,queue_length_4,queue_length_5,queue_length_6,queue_length_7,queue_length_8,queue_length_9
850.0,4250.0,82,620.0,1.9314641744548287,5.926248762316203,0,7,5,0,7,2,4,7,4,4,1,15,4,0,0,10,12
855.0,4275.0,71,399.0,1.2626582278481013,6.198147370182871,0,4,7,0,9,6,3,6,0,1,0,11,1,2,0,14,7
860.0,4300.0,69,522.0,1.6415094339622642,7.317915615028951,0,5,3,0,9,7,3,9,0,5,0,6,6,0,0,10,6
865.0,4325.0,70,539.0,1.6896551724137931,6.211204071991346,0,3,6,0,9,4,1,9,2,9,0,6,11,0,1,6,3
870.0,4350.0,73,398.0,1.217125382262997,5.969571651152641,0,8,4,0,3,2,8,3,2,4,3,12,6,3,1,7,7
875.0,4375.0,81,512.0,1.5657492354740061,7.064003866208655,0,11,0,1,0,3,11,0,1,4,5,13,6,4,0,10,12
880.0,4400.0,87,613.0,1.851963746223565,6.613983356709394,0,14,1,1,0,5,12,2,1,9,4,5,12,0,0,10,11
885.0,4425.0,83,581.0,1.7822085889570551,6.146666434186666,0,10,6,0,2,9,5,8,1,3,2,5,18,2,0,4,8
890.0,4450.0,73,394.0,1.23125,5.962439344831799,0,4,7,0,3,5,3,6,3,2,2,1,14,7,0,4,12
895.0,4475.0,75,388.0,1.2317460317460318,6.552133044231995,0,5,2,1,3,0,3,2,3,2,2,6,11,12,2,8,13
900.0,4500.0,85,593.0,1.8647798742138364,6.239820340138498,0,3,2,0,3,2,7,7,3,4,4,10,13,6,0,5,16
